artifact,sha256_before,sha256_after,unchanged,matches_known
tests/sera-vnext/baselines/sera-vnext-baseline-v0.json,173e5e3b11e0ec1caff3f51e7813ae2a3cf579e8a70ef16fc5cef908e3c57865,173e5e3b11e0ec1caff3f51e7813ae2a3cf579e8a70ef16fc5cef908e3c57865,true,true
tests/sera-vnext/fixture-sets/sera-vnext-fixture-set-v0.json,48946924b8cfc62582a3a1b5c5398d58d0eefce25334cff34f9dc9acf7dea16e,48946924b8cfc62582a3a1b5c5398d58d0eefce25334cff34f9dc9acf7dea16e,true,true
tests/sera-vnext/baseline-candidates/sera-vnext-fixture-set-v0-expected-outputs.json,194c0b096543bec7c4bff9340ca488b5cc87adf249dbaf7ebb50a6f02af4b999,194c0b096543bec7c4bff9340ca488b5cc87adf249dbaf7ebb50a6f02af4b999,true,true
tests/sera-vnext/fixtures/controls/5nbqj-control.vnext-fixture.json,cf16f5012b96e6b7a5b2067e3aff4fdaf552a20e81e6c45f9dc171a9aee7e065,cf16f5012b96e6b7a5b2067e3aff4fdaf552a20e81e6c45f9dc171a9aee7e065,true,true
tests/sera-vnext/fixtures/controls/delta-191-control.vnext-fixture.json,513fdf3585d681dc0b3a1b730a6daf8a44b4133114fc01bb9d48390d303630a0,513fdf3585d681dc0b3a1b730a6daf8a44b4133114fc01bb9d48390d303630a0,true,true
tests/sera-vnext/fixtures/controls/usair-427-control.vnext-fixture.json,a357f858371b50e54122ea88123017ca386758b9ee3b57a5142d04e5b67be621,a357f858371b50e54122ea88123017ca386758b9ee3b57a5142d04e5b67be621,true,true
tests/sera-vnext/fixtures/positive/asiana-214.vnext-fixture.json,27ee87f522cbf26ddd5d717b7d95f3e5df176a6e5cb668aa1be7b0116034b76c,27ee87f522cbf26ddd5d717b7d95f3e5df176a6e5cb668aa1be7b0116034b76c,true,true
tests/sera-vnext/fixtures/positive/comair-5191.vnext-fixture.json,174cc246430876e5c25271a593d5076b6a9fa3aa176f8abad28e1157e17c660a,174cc246430876e5c25271a593d5076b6a9fa3aa176f8abad28e1157e17c660a,true,true
tests/sera-vnext/fixtures/positive/ups-1354.vnext-fixture.json,318f243f48d3b5911d662b1624d3ca2160a500896601bbd1c7ceea94b2c6bca4,318f243f48d3b5911d662b1624d3ca2160a500896601bbd1c7ceea94b2c6bca4,true,true
tests/sera-vnext/fixtures/synthetic/gap004-consequence-as-cause.vnext-fixture.json,22c32ab835655fb633421b646f875294f493298673a66a1935612f96cd43a64b,22c32ab835655fb633421b646f875294f493298673a66a1935612f96cd43a64b,true,true
tests/sera-vnext/fixtures/ DIRECTORY_MANIFEST,3fcaf179d5bdf0c2d7aa7475c1f90f4d1edc5131b742595b63a35c7b331604ec,3fcaf179d5bdf0c2d7aa7475c1f90f4d1edc5131b742595b63a35c7b331604ec,true,true
